Nombre Rol	Módulo
ACLARACIONES BANCARIAS	Suspense
ADMINISTRADOR	Suspense
OPERACIONES BANCARIAS	Suspense
OPERACIONES BANCARIAS 2	Suspense
PRUEBAS SKY	Suspense
PRUEBAS_SOA	Suspense
ACLARACIONES BANCARIAS	Tarjeta de Crédito
ADMINISTRADOR	Tarjeta de Crédito
OPERACIONES BANCARIAS	Tarjeta de Crédito
PRUEBAS SKY	Tarjeta de Crédito
ADMINISTRADOR	Tipo de Cambio
OPERACIONES BANCARIAS	Tipo de Cambio
OPERACIONES BANCARIAS 2	Tipo de Cambio
PRUEBAS SKY	Tipo de Cambio
ADMIN_USUARIOS	Usuarios
ADMINISTRADOR	Usuarios
